date,time,open,high,low,close
2022.02.07,12:00,1.14337,1.14437,1.14171,1.14382
2022.02.07,16:00,1.14383,1.14437,1.14332,1.14426
2022.02.07,20:00,1.14425,1.14487,1.14215,1.14236
2022.02.08,00:00,1.14236,1.14249,1.13961,1.14049
2022.02.08,04:00,1.1405,1.14335,1.1398,1.1418
2022.02.08,08:00,1.14177,1.14236,1.14001,1.14148
2022.02.08,12:00,1.14148,1.14237,1.14014,1.14187
2022.02.08,16:00,1.14187,1.14234,1.14121,1.14133
2022.02.08,20:00,1.14132,1.14323,1.1412,1.14268
2022.02.09,00:00,1.14267,1.14277,1.14024,1.14221
2022.02.09,04:00,1.14222,1.14447,1.14177,1.14374
2022.02.09,08:00,1.14375,1.14459,1.14253,1.14342
2022.02.09,12:00,1.14345,1.14477,1.142,1.14254
2022.02.09,16:00,1.14252,1.14273,1.1413,1.14171
2022.02.09,20:00,1.1417,1.14314,1.14169,1.1425
2022.02.10,00:00,1.14249,1.14335,1.14194,1.1433
2022.02.10,04:00,1.14332,1.14463,1.14299,1.14363
2022.02.10,08:00,1.14365,1.14948,1.13748,1.14888
2022.02.10,12:00,1.14887,1.14887,1.14311,1.14311
2022.02.10,16:00,1.14311,1.14332,1.13858,1.13996
2022.02.10,20:00,1.13997,1.14068,1.13749,1.13808
2022.02.11,00:00,1.13809,1.13979,1.13699,1.13931
2022.02.11,04:00,1.1393,1.14147,1.13822,1.1406
2022.02.11,08:00,1.14059,1.1418,1.13801,1.14048
2022.02.11,12:00,1.14048,1.14076,1.13296,1.13414
2022.02.11,16:00,1.13413,1.13515,1.13398,1.13463
2022.02.13,16:00,1.13369,1.1369,1.13365,1.13623
2022.02.13,20:00,1.13622,1.1365,1.13405,1.1345
2022.02.14,00:00,1.1345,1.13522,1.13037,1.13092
2022.02.14,04:00,1.13092,1.13423,1.13008,1.1327
2022.02.14,08:00,1.13271,1.13311,1.12915,1.13062
2022.02.14,12:00,1.13061,1.13142,1.12799,1.1294
2022.02.14,16:00,1.12939,1.13131,1.12939,1.13117
2022.02.14,20:00,1.13115,1.13224,1.13084,1.1319
2022.02.15,00:00,1.13189,1.13488,1.13093,1.13459
2022.02.15,04:00,1.13459,1.13537,1.13359,1.13405
2022.02.15,08:00,1.13404,1.13681,1.13202,1.13624
2022.02.15,12:00,1.13623,1.13642,1.1346,1.13582
2022.02.15,16:00,1.13582,1.13604,1.13543,1.1357
2022.02.15,20:00,1.13569,1.13569,1.13449,1.13477
2022.02.16,00:00,1.13478,1.13953,1.13478,1.13896
2022.02.16,04:00,1.13898,1.13898,1.13644,1.13655
2022.02.16,08:00,1.13655,1.1381,1.13531,1.13806
2022.02.16,12:00,1.13807,1.13957,1.13701,1.13818
2022.02.16,16:00,1.13819,1.13845,1.13669,1.13796
2022.02.16,20:00,1.13795,1.13848,1.1323,1.13422
2022.02.17,00:00,1.13421,1.1386,1.13421,1.13582
2022.02.17,04:00,1.13583,1.13794,1.13429,1.13778
2022.02.17,08:00,1.13776,1.13794,1.13505,1.13627
2022.02.17,12:00,1.13629,1.13695,1.13568,1.13598
2022.02.17,16:00,1.13597,1.13696,1.13572,1.13595
2022.02.17,20:00,1.13593,1.13712,1.13577,1.13636
2022.02.18,00:00,1.13639,1.13769,1.13611,1.13755
2022.02.18,04:00,1.13755,1.13768,1.13469,1.13602
2022.02.18,08:00,1.13604,1.13615,1.13146,1.13259
2022.02.18,12:00,1.13258,1.13356,1.1314,1.13243
2022.02.18,16:00,1.13245,1.13294,1.13196,1.13203
2022.02.20,16:00,1.13186,1.13356,1.1313,1.13325
2022.02.20,20:00,1.13326,1.13679,1.13279,1.13621
2022.02.21,00:00,1.13621,1.13905,1.13559,1.13565
2022.02.21,04:00,1.13564,1.13682,1.13329,1.13343
2022.02.21,08:00,1.13341,1.13468,1.13205,1.13463
2022.02.21,12:00,1.13464,1.1349,1.13064,1.13147
2022.02.21,16:00,1.13145,1.13197,1.12963,1.13136
2022.02.21,20:00,1.13136,1.1316,1.1288,1.12984
2022.02.22,00:00,1.12984,1.13278,1.12925,1.13257
2022.02.22,04:00,1.13258,1.13667,1.13147,1.13509
2022.02.22,08:00,1.13508,1.13539,1.13306,1.13434
2022.02.22,12:00,1.13431,1.13431,1.1322,1.1324
2022.02.22,16:00,1.13239,1.13354,1.13229,1.13331
2022.02.22,20:00,1.1333,1.13387,1.13199,1.13254
2022.02.23,00:00,1.13254,1.13474,1.13159,1.13474
2022.02.23,04:00,1.13472,1.13588,1.13369,1.13374
2022.02.23,08:00,1.13376,1.13523,1.13058,1.1314
2022.02.23,12:00,1.13139,1.13184,1.13011,1.13051
2022.02.23,16:00,1.13051,1.13087,1.12749,1.1276
2022.02.23,20:00,1.12763,1.12942,1.12083,1.12453
2022.02.24,00:00,1.12452,1.12624,1.12206,1.12397
2022.02.24,04:00,1.12399,1.12504,1.11551,1.11703
2022.02.24,08:00,1.11702,1.11801,1.11062,1.11499
2022.02.24,12:00,1.11501,1.12212,1.11408,1.11996
2022.02.24,16:00,1.11999,1.12094,1.11864,1.12014
2022.02.24,20:00,1.12018,1.12285,1.11895,1.12214
2022.02.25,00:00,1.12213,1.12256,1.11701,1.11775
2022.02.25,04:00,1.11774,1.12369,1.11659,1.12211
2022.02.25,08:00,1.12213,1.12669,1.12118,1.12591
2022.02.25,12:00,1.12591,1.12711,1.1235,1.12656
2022.02.25,16:00,1.12657,1.12739,1.12643,1.12719
2022.02.27,16:00,1.11237,1.11944,1.11225,1.11817
2022.02.27,20:00,1.11818,1.11859,1.11421,1.11458
2022.02.28,00:00,1.11462,1.12,1.11445,1.11787
2022.02.28,04:00,1.11788,1.12321,1.11649,1.11928
2022.02.28,08:00,1.11929,1.12464,1.11791,1.12242
2022.02.28,12:00,1.12242,1.12283,1.11974,1.12103
2022.02.28,16:00,1.12102,1.12203,1.12052,1.12054
2022.02.28,20:00,1.12056,1.12103,1.11906,1.11964
2022.03.01,00:00,1.11962,1.12329,1.11938,1.12266
2022.03.01,04:00,1.12267,1.12295,1.1156,1.116
2022.03.01,08:00,1.11601,1.117,1.10991,1.11031
2022.03.01,12:00,1.11031,1.11348,1.10896,1.11302
2022.03.01,16:00,1.11301,1.11379,1.11177,1.11264
2022.03.01,20:00,1.11264,1.11355,1.1111,1.1123
2022.03.02,00:00,1.11228,1.11229,1.10796,1.10856
2022.03.02,04:00,1.10855,1.11192,1.10588,1.1117
2022.03.02,08:00,1.11173,1.11437,1.10573,1.11023
2022.03.02,12:00,1.11022,1.11341,1.10786,1.11269
2022.03.02,16:00,1.11269,1.11289,1.11006,1.11021
2022.03.02,20:00,1.11022,1.11066,1.109,1.10977
2022.03.03,00:00,1.10978,1.11062,1.10824,1.10911
2022.03.03,04:00,1.10911,1.10968,1.10717,1.10752
2022.03.03,08:00,1.10755,1.1095,1.10375,1.10543
2022.03.03,12:00,1.10544,1.10678,1.10334,1.10628
2022.03.03,16:00,1.10627,1.10677,1.101,1.10124
2022.03.03,20:00,1.10122,1.10517,1.10112,1.10354
2022.03.04,00:00,1.10354,1.10391,1.10083,1.1012
2022.03.04,04:00,1.10118,1.10242,1.09341,1.09372
2022.03.04,08:00,1.09373,1.09448,1.08856,1.09085
2022.03.04,12:00,1.09087,1.09368,1.0908,1.09342
2022.03.04,16:00,1.09344,1.09404,1.09254,1.09311
2022.03.06,16:00,1.09199,1.09287,1.08623,1.08623
2022.03.06,20:00,1.08619,1.08863,1.08213,1.08795
2022.03.07,00:00,1.08791,1.08978,1.08538,1.08626
2022.03.07,04:00,1.08626,1.09253,1.08059,1.08872
2022.03.07,08:00,1.08878,1.09325,1.08483,1.086
2022.03.07,12:00,1.086,1.09003,1.08455,1.08703
2022.03.07,16:00,1.08702,1.08716,1.08489,1.08571
2022.03.07,20:00,1.08572,1.08847,1.08531,1.08699
2022.03.08,00:00,1.08698,1.09216,1.08511,1.08964
2022.03.08,04:00,1.08965,1.09212,1.08654,1.09054
2022.03.08,08:00,1.09054,1.09243,1.08719,1.08806
2022.03.08,12:00,1.08808,1.09582,1.08776,1.09064
2022.03.08,16:00,1.09066,1.09145,1.089,1.0914
2022.03.08,20:00,1.09142,1.09201,1.0905,1.09168
2022.03.09,00:00,1.09168,1.0956,1.09091,1.09494
2022.03.09,04:00,1.09497,1.09926,1.09398,1.09854
2022.03.09,08:00,1.09853,1.10916,1.09833,1.10703
2022.03.09,12:00,1.10705,1.10951,1.10616,1.10704
2022.03.09,16:00,1.10703,1.10789,1.1047,1.10539
2022.03.09,20:00,1.10536,1.10625,1.10415,1.10538
2022.03.10,00:00,1.10539,1.10718,1.10261,1.10326
2022.03.10,04:00,1.10327,1.11212,1.10255,1.10982
2022.03.10,08:00,1.10983,1.11075,1.09801,1.10066
2022.03.10,12:00,1.10065,1.10085,1.09761,1.09771
2022.03.10,16:00,1.09771,1.10188,1.0976,1.0998
2022.03.10,20:00,1.09981,1.10102,1.09804,1.1001
2022.03.11,00:00,1.10015,1.10086,1.09656,1.0978
2022.03.11,04:00,1.09779,1.10435,1.09601,1.09864
2022.03.11,08:00,1.09865,1.1011,1.09284,1.09357
2022.03.11,12:00,1.09358,1.09364,1.09018,1.09105
2022.03.11,16:00,1.09105,1.09169,1.09081,1.09099
2022.03.13,16:00,1.09205,1.09387,1.09099,1.0929
2022.03.13,20:00,1.09293,1.09375,1.09005,1.09171
2022.03.14,00:00,1.0917,1.09599,1.09084,1.09564
2022.03.14,04:00,1.09562,1.09897,1.09399,1.09576
2022.03.14,08:00,1.09573,1.09938,1.09349,1.0974
2022.03.14,12:00,1.09741,1.09792,1.0939,1.09399
2022.03.14,16:00,1.09399,1.09552,1.09304,1.09502
2022.03.14,20:00,1.09502,1.09853,1.09375,1.09823
2022.03.15,00:00,1.09824,1.10196,1.09668,1.10036
2022.03.15,04:00,1.10035,1.10076,1.0978,1.09903
2022.03.15,08:00,1.09902,1.09998,1.0938,1.09514
2022.03.15,12:00,1.09516,1.09557,1.0926,1.09551
2022.03.15,16:00,1.09531,1.0974,1.0948,1.09569
2022.03.15,20:00,1.09568,1.09771,1.09558,1.09677
2022.03.16,00:00,1.09677,1.1005,1.09557,1.09907
2022.03.16,04:00,1.09906,1.10247,1.098,1.09891
2022.03.16,08:00,1.09892,1.10399,1.09854,1.10008
2022.03.16,12:00,1.10006,1.10466,1.095,1.10333
2022.03.16,16:00,1.10333,1.10523,1.10076,1.10513
2022.03.16,20:00,1.10514,1.1052,1.10296,1.10343
2022.03.17,00:00,1.10344,1.1067,1.10219,1.10528
2022.03.17,04:00,1.10527,1.10651,1.10229,1.10457
2022.03.17,08:00,1.10458,1.11334,1.10442,1.11309
2022.03.17,12:00,1.11309,1.11375,1.10893,1.1091
2022.03.17,16:00,1.1091,1.11186,1.10891,1.10995
2022.03.17,20:00,1.10996,1.11036,1.10764,1.10767
2022.03.18,00:00,1.10766,1.10942,1.10551,1.10676
2022.03.18,04:00,1.10676,1.10718,1.10151,1.10203
2022.03.18,08:00,1.10204,1.10722,1.1003,1.10606
2022.03.18,12:00,1.10607,1.1064,1.10422,1.10492
2022.03.20,16:00,1.10561,1.10584,1.10374,1.10451
2022.03.20,20:00,1.1045,1.10537,1.10406,1.10409
2022.03.21,00:00,1.10409,1.10627,1.10344,1.10564
2022.03.21,04:00,1.10566,1.10701,1.10255,1.10338
2022.03.21,08:00,1.10337,1.10522,1.10263,1.10419
2022.03.21,12:00,1.1042,1.10435,1.10102,1.10151
2022.03.21,16:00,1.10151,1.10256,1.0981,1.09865
2022.03.21,20:00,1.09864,1.1005,1.09838,1.09853
2022.03.22,00:00,1.09852,1.10114,1.09608,1.10072
2022.03.22,04:00,1.10072,1.10343,1.0987,1.10155
2022.03.22,08:00,1.10155,1.10457,1.10113,1.10177
2022.03.22,12:00,1.10176,1.1033,1.10146,1.1028
2022.03.22,16:00,1.1028,1.10436,1.10207,1.10251
2022.03.22,20:00,1.10253,1.10346,1.10209,1.10274
2022.03.23,00:00,1.10273,1.10397,1.10103,1.10161
2022.03.23,04:00,1.10162,1.10173,1.09748,1.09866
2022.03.23,08:00,1.09866,1.10069,1.09639,1.1002
2022.03.23,12:00,1.10021,1.10117,1.09972,1.1002
2022.03.23,16:00,1.10019,1.10136,1.10008,1.10024
2022.03.23,20:00,1.10024,1.1003,1.09804,1.09855
2022.03.24,00:00,1.09855,1.10007,1.09721,1.09774
2022.03.24,04:00,1.09774,1.10011,1.09721,1.09831
2022.03.24,08:00,1.09832,1.10134,1.09659,1.09857
2022.03.24,12:00,1.09857,1.10057,1.09824,1.0996
2022.03.24,16:00,1.0996,1.1011,1.09948,1.10089
2022.03.24,20:00,1.10089,1.10376,1.10077,1.10318
2022.03.25,00:00,1.10317,1.10339,1.1011,1.10158
2022.03.25,04:00,1.10158,1.10222,1.10005,1.10031
2022.03.25,08:00,1.10033,1.10243,1.09808,1.09877
2022.03.25,12:00,1.09878,1.09966,1.09797,1.09805
2022.03.27,16:00,1.09845,1.09869,1.09793,1.09811
2022.03.27,20:00,1.09814,1.09844,1.09504,1.09554
2022.03.28,00:00,1.09554,1.09654,1.09447,1.09514
2022.03.28,04:00,1.09516,1.09993,1.09446,1.09636
2022.03.28,08:00,1.09634,1.09786,1.09465,1.09761
2022.03.28,12:00,1.0976,1.09995,1.0974,1.09874
2022.03.28,16:00,1.09876,1.09978,1.09783,1.09911
2022.03.28,20:00,1.09911,1.0997,1.0969,1.09926
2022.03.29,00:00,1.09926,1.1018,1.09791,1.09999
2022.03.29,04:00,1.09999,1.11025,1.09749,1.10844
2022.03.29,08:00,1.10846,1.1137,1.10789,1.11065
2022.03.29,12:00,1.11067,1.11068,1.10716,1.10883
2022.03.29,16:00,1.10883,1.10991,1.10782,1.10909
2022.03.29,20:00,1.1091,1.11204,1.10878,1.11149
2022.03.30,00:00,1.1115,1.11345,1.11054,1.11281
2022.03.30,04:00,1.11281,1.11615,1.11141,1.11389
2022.03.30,08:00,1.11387,1.1171,1.11118,1.11629
2022.03.30,12:00,1.11628,1.11655,1.11477,1.11519
2022.03.30,16:00,1.11518,1.11647,1.11518,1.11613
2022.03.30,20:00,1.11611,1.11848,1.1156,1.1164
2022.03.31,00:00,1.1164,1.11756,1.11499,1.11505
